Date,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
1/1/2023 0:00:00,6,14,26,17,9,12,12,SO2
1/1/2023 1:00:00,6,14,26,17,8,12,12,SO2
1/1/2023 2:00:00,6,13,25,17,8,12,12,SO2
1/1/2023 3:00:00,6,13,25,17,8,12,12,SO2
1/1/2023 4:00:00,6,13,25,16,8,12,12,SO2
1/1/2023 5:00:00,6,13,25,16,8,12,12,SO2
1/1/2023 6:00:00,6,13,24,16,8,12,11,SO2
1/1/2023 7:00:00,6,13,24,16,8,12,11,SO2
1/1/2023 8:00:00,6,13,23,16,8,12,11,SO2
1/1/2023 9:00:00,6,13,23,16,8,12,11,SO2
1/1/2023 10:00:00,6,14,23,16,8,12,10,SO2
1/1/2023 11:00:00,6,14,22,15,8,12,10,SO2
1/1/2023 12:00:00,6,14,22,15,8,12,9,SO2
1/1/2023 13:00:00,6,14,22,15,8,12,9,SO2
1/1/2023 14:00:00,6,14,21,15,8,12,9,SO2
1/1/2023 15:00:00,6,15,21,15,8,12,9,SO2
1/1/2023 16:00:00,7,15,20,15,8,12,9,SO2
1/1/2023 17:00:00,7,15,20,15,8,12,9,SO2
1/1/2023 18:00:00,7,16,20,15,8,12,9,SO2
1/1/2023 19:00:00,7,16,19,15,8,12,9,SO2
1/1/2023 20:00:00,8,16,19,15,8,12,9,SO2
1/1/2023 21:00:00,8,17,19,15,8,12,9,SO2
1/1/2023 22:00:00,8,18,19,15,8,12,9,SO2
1/1/2023 23:00:00,9,19,18,15,8,12,10,PM2.5
1/2/2023 0:00:00,9,19,18,15,8,12,10,PM2.5
1/2/2023 1:00:00,9,20,18,16,8,12,10,PM2.5
1/2/2023 2:00:00,10,20,18,16,8,12,11,PM2.5
1/2/2023 3:00:00,10,22,18,16,8,12,11,PM2.5
1/2/2023 4:00:00,11,23,18,16,8,12,11,PM2.5
1/2/2023 5:00:00,11,24,18,16,8,12,11,PM2.5
1/2/2023 6:00:00,12,25,18,16,8,12,12,PM2.5
1/2/2023 7:00:00,12,25,18,16,8,12,12,PM2.5
1/2/2023 8:00:00,12,25,18,16,8,12,12,PM2.5
1/2/2023 9:00:00,12,26,18,16,8,12,13,PM2.5
1/2/2023 10:00:00,12,26,18,16,8,12,13,PM2.5
1/2/2023 11:00:00,12,26,18,16,8,12,13,PM2.5
1/2/2023 12:00:00,12,27,18,16,8,12,14,PM2.5
1/2/2023 13:00:00,12,27,18,16,8,12,14,PM2.5
1/2/2023 14:00:00,12,27,18,16,8,12,14,PM2.5
1/2/2023 15:00:00,12,26,18,16,8,12,14,PM2.5
1/2/2023 16:00:00,13,27,18,16,7,12,14,PM2.5
1/2/2023 17:00:00,12,27,18,16,7,12,14,PM2.5
1/2/2023 18:00:00,12,26,18,16,7,12,14,PM2.5
1/2/2023 19:00:00,12,27,18,16,7,12,14,PM2.5
1/2/2023 20:00:00,12,26,18,16,7,12,14,PM2.5
1/2/2023 21:00:00,12,25,18,16,7,12,13,PM2.5
1/2/2023 22:00:00,12,25,17,16,7,12,13,PM2.5
1/2/2023 23:00:00,11,24,17,16,7,12,13,PM2.5
1/3/2023 0:00:00,11,24,17,16,7,12,13,PM2.5
1/3/2023 1:00:00,11,24,17,16,7,12,12,PM2.5
1/3/2023 2:00:00,11,24,17,16,7,12,12,PM2.5
1/3/2023 3:00:00,11,23,17,16,7,12,12,PM2.5
1/3/2023 4:00:00,10,22,17,16,7,12,12,PM2.5
1/3/2023 5:00:00,10,22,17,16,7,12,12,PM2.5
1/3/2023 6:00:00,10,23,17,16,7,12,12,PM2.5
1/3/2023 7:00:00,11,24,17,16,7,12,12,PM2.5
1/3/2023 8:00:00,11,26,17,17,7,12,12,PM2.5
1/3/2023 9:00:00,12,26,17,17,7,12,13,PM2.5
1/3/2023 10:00:00,12,26,18,17,7,12,13,PM2.5
1/3/2023 11:00:00,12,27,18,17,7,12,13,PM2.5
1/3/2023 12:00:00,13,28,18,17,7,12,14,PM2.5
1/3/2023 13:00:00,13,29,18,17,7,12,14,PM2.5
1/3/2023 14:00:00,13,29,18,17,7,12,14,PM2.5
1/3/2023 15:00:00,13,29,18,17,7,12,14,PM2.5
1/3/2023 16:00:00,13,29,18,17,7,12,15,PM2.5
1/3/2023 17:00:00,13,29,18,17,7,12,15,PM2.5
1/3/2023 18:00:00,13,30,18,17,7,12,15,PM2.5
1/3/2023 19:00:00,14,30,18,17,7,12,15,PM2.5
1/3/2023 20:00:00,14,31,18,17,7,12,15,PM2.5
1/3/2023 21:00:00,14,31,18,18,7,12,16,PM2.5
1/3/2023 22:00:00,15,32,19,18,7,12,16,PM2.5
1/3/2023 23:00:00,15,33,19,18,7,12,17,PM2.5
1/4/2023 0:00:00,16,34,19,18,7,12,17,PM2.5
1/4/2023 1:00:00,16,35,19,18,7,12,17,PM2.5
1/4/2023 2:00:00,16,35,19,18,7,12,17,PM2.5
1/4/2023 3:00:00,16,35,19,18,7,12,17,PM2.5
1/4/2023 4:00:00,16,35,19,18,7,12,17,PM2.5
1/4/2023 5:00:00,16,35,19,18,7,12,17,PM2.5
1/4/2023 6:00:00,17,36,19,18,7,12,17,PM2.5
1/4/2023 7:00:00,16,35,19,17,7,12,17,PM2.5
1/4/2023 8:00:00,16,35,19,17,7,12,17,PM2.5
1/4/2023 9:00:00,16,35,19,17,7,12,17,PM2.5
1/4/2023 10:00:00,16,35,19,17,7,12,17,PM2.5
1/4/2023 11:00:00,16,35,19,17,7,12,17,PM2.5
1/4/2023 12:00:00,16,34,19,17,7,12,17,PM2.5
1/4/2023 13:00:00,16,34,19,17,7,12,17,PM2.5
1/4/2023 14:00:00,15,34,19,17,7,12,17,PM2.5
1/4/2023 15:00:00,15,34,19,17,7,12,16,PM2.5
1/4/2023 16:00:00,16,35,19,17,7,12,16,PM2.5
